rCH1             rCH2             rCO            aH1CO           aH1CO            D                  E
1.11000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.86908183E+03
1.12000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.05444870E+03
1.09000000E+00  1.09000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     6.56161583E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.83117375E+03
1.10000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     5.93311667E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     3.95691827E+03
1.09000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     6.99206596E+03
1.12000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     3.81759586E+03
1.12000000E+00  1.10000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.67915248E+03
1.12000000E+00  1.09000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     3.90618096E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.53891557E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.76000000E+02     5.91467890E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     4.64119667E+03
1.08000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     7.82663195E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     4.77442569E+03
1.10000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     6.04618171E+03
1.12000000E+00  1.11000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.66314328E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     6.67370520E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.81578543E+03
1.08000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     8.03062541E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     5.73421475E+03
1.09000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     6.80623691E+03
1.09000000E+00  1.09000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     6.58515538E+03
1.10000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     5.83864188E+03
1.08000000E+00  1.12000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.75512571E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     5.39645200E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     4.01951596E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     5.55821092E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     4.62219281E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.03741165E+03
1.12000000E+00  1.09000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.80448715E+03
1.11000000E+00  1.11000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.85000856E+03
1.12000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     3.79800628E+03
1.10000000E+00  1.10000000E+00  1.19000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     5.30117527E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     4.64318072E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     4.49353808E+03
1.12000000E+00  1.11000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.03908685E+03
1.08000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     7.79535340E+03
1.11000000E+00  1.10000000E+00  1.19000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.38431303E+03
1.11000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     5.01831351E+03
1.12000000E+00  1.12000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.01291639E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     6.64476559E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     4.47388540E+03
1.11000000E+00  1.11000000E+00  1.19000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.36365378E+03
1.12000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.19387802E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.80178775E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.09551466E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.76000000E+02     4.98653699E+03
1.11000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     4.93201289E+03
1.08000000E+00  1.09000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.71263555E+03
1.09000000E+00  1.11000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     6.77960247E+03
1.12000000E+00  1.09000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.09434721E+03
1.09000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     6.97706719E+03
1.08000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.94456336E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     4.61967171E+03
1.12000000E+00  1.12000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.90960769E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.14960696E+03
1.09000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     7.09912701E+03
1.12000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     3.89580851E+03
1.09000000E+00  1.09000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.62600417E+03
1.11000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     5.12253630E+03
1.08000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     7.83261352E+03
1.09000000E+00  1.09000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     6.44679057E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.87108771E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.78318051E+03
1.12000000E+00  1.09000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     3.86170565E+03
1.12000000E+00  1.12000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.75325455E+03
1.08000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     8.00531954E+03
1.10000000E+00  1.10000000E+00  1.22000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     5.66282673E+03
1.09000000E+00  1.09000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     6.85729340E+03
1.08000000E+00  1.12000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.61584356E+03
1.11000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.99831284E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     6.79625639E+03
1.09000000E+00  1.09000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     6.72707862E+03
1.08000000E+00  1.09000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     7.88229689E+03
1.08000000E+00  1.11000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.91407346E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     4.00776744E+03
1.12000000E+00  1.12000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     3.85338199E+03
1.09000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.87428857E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.76000000E+02     4.96823142E+03
1.08000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     8.12719701E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.18000000E+02  1.22000000E+02  1.80000000E+02     5.98030123E+03
